Rank,State,"Total Energy Consumed per Capita, million Btu",Note: Rankings are based on the full source data values.
1,WY,967
2,LA,945
3,ND,872
4,AK,830
5,IA,513
6,TX,498
7,NE,475
8,WV,462
9,SD,452
10,OK,433
11,IN,424
12,MT,410
13,MS,400
14,AL,400
15,KY,391
16,KS,390
17,AR,372
18,MN,341
19,NM,336
20,TN,333
21,SC,329
22,WI,325
23,OH,322
24,ID,316
25,IL,315
26,PA,310
27,MO,302
28,DE,301
29,ME,295
30,MI,290
31,VA,283
32,WA,276
33,GA,274
34,CO,266
35,UT,265
36,NJ,252
37,NC,252
38,DC,249
39,OR,242
40,NV,240
41,NH,240
42,MD,226
43,VT,223
44,MA,212
45,CT,211
46,AZ,208
47,HI,206
48,CA,202
49,FL,202
50,NY,197
51,RI,187